game	year	problem_type	problem_from_postmortem	antipattern	sw_antipattern	author
Crackdown	2009	planning	We got a couple of milestones past our first playable demo (which went down really well but was held together with paperclips and sticking plasters) before feeling the sinking sensation that the project was out of control. In the face of a great deal of pressure to continue making incremental progress, the production team agreed to immediately derail the entire team from chasing short-term disconnected goals and instead embark on a full-scale project audit. Much of the team was tasked with breaking down the complete design with implementation information so that it could be processed and converted into a simple and solid plan. A multi-disciplinary panel was charged with reviewing the extensive detail of each component in turn so there could be no more complaints that, for example, audio wasnt being given due and timely consideration. With a pass to add development estimates, resource groups, and stakeholder priorities, the resulting project scope spreadsheet was incredibly cumbersome. The team at large resented it bitterly. Unwieldy as it was, it was still an invaluable tool for at last conducting a meaningful triage of work against available time and resources.	(low morale: scope too large)	none	none
Baldurs Gate II	2001	multiple-projects	During the development of any game, no matter how cool, there comes a time where people have been working on it for a long time and they start to tire of it. This mid-project doldrums period has to be managed very carefully, with attention paid to the individuals involved. In the case of BG2, our situation was complicated by the fact we had a shiny new project in the form of Neverwinter Nights (also with Black Isle/Interplay as publisher) in production just across the hall, and another cool new project in the form of our Star Wars RPG (with LucasArts as the publisher) also recently underway.	(low morale: working in the same project for a long time)	none	none
Kleptocats	2017	team	At the start of the development we weren’t in the best position. We were sad. The office had lost half of its people because the game we made before wasn’t the success we needed financially speaking, and we were a couple months away of losing the other half. All the people involved in the project thought that this was going to be the last game we made together as a team. (...) Even though to our standards KleptoCats was a success, after months of work and trying to do something new, we found trying to continue the project got tiresome. That’s why we decided after months of working, it was a good idea for the original team to move onto other things while the new members could take it and give it a fresh and different vision.	(low morale: working in the same project for a long time)	none	none
Swing racers	2015	planning	Many times since release I have wished that I knew things about people playing my game - how many players chose the “left-handed” option? how many strived to unlock everything? which levels did they go back to the most? Knowing these things would help make better decisions on features for the next project.	(metrics collection issues: devs did not include any statistics system to understand which options/game modes were the most picked by players)	none	none
Bionic Commando Rearmed	2009	feature-creep	In the end, text is a slippery slope. The amount of localization, planning, and programming is no easy task. I know the programmers on the title thought this was a bad idea from the start, and certainly its not the type of feature that will sell a lot of additional units, but we went forward with it anyways. It created a lot of page break mistakes and of course the Japanese localization was a colossal headache. Its funny, but even though I worked in localization for several years, I never did it the other way around (English into Japanese). All of the games I worked on were Japanese into English. With Japanese you basically have to code in where each line breaks by hand. English and other Western languages allow for automatic line breaks quite easily, but Japanese is incredibly time consuming. Capcom is a Japanese publisher, so we needed to have a Japanese version, but what a huge amount of work to put into a single language when compared to the other languages!	(not enough attention given to localization)	none	none
Bit.Trip Beat	2009	delays	Forgetting about localization until the very end of the project somewhat diminished the games accessibility worldwide due to all in-game text being in English only. It also delayed our project by about one week.	(not enough attention given to localization)	none	none
Okamiden	2011	delays	For the development of Okamiden, the main challenge was to recreate the beautiful world of Okami on the Nintendo DS. To do that, the team spent countless hours trying and re-trying, doing everything to increase the quality of the game. Unfortunately, this pushed back the production schedule for the Japanese version of the game.	(not enough attention given to localization)	none	none
Out There	2015	delays	It was at this time that I started rereading my translation with a professional who graciously accepted to do it free of charge. There would eventually be a total of 28,000 words (I had not finished writing) to read in French and 24,000 in English. I thought it would take 5 days. We sat face to face while she read, corrected, etc. After 15 minutes, I asked her how much she had done so I could estimate the total amount of time we would need. She was still on the first sentence. It took several months.	(not enough attention given to localization)	none	none
Trine	2010	cutting-features	The state of the overall project and its overambitious design was finally understood in May 2009, roughly a month before the scheduled gold master. Some partially-developed gameplay features were cut, such as the third upgrade slot for the characters skills, along with a graphically unpolished icy mountain level and other art content, as were many small gameplay features. This also caused headaches down the line, for example in localization, as much of the text had to be revised and combined even though the game had already been completely translated once and VO had been recorded.	(not enough attention given to localization)	none	none
Wireless Pets	2002	feature-creep	The amount of text I had to write for this game almost killed me. There are 500 unique diary entries for each of the 6 pets in the WAP version, and 350 unique diary entries for all six pets (featuring four new pets) in the SMS game. It was insane; 50 different ways of saying Im hungry for ten different animals, each in a way that conveys a bit of personality. One solution to this would be dynamic text generation. However, when the game is translated into many languages, this is very problematic. English is fine, but other languages have new and unusual forms of sentence construction to torment you with, not to mention gender specific nouns, verbs and adjectives (not necessarily the same gender in every language). The programmers had lots to do; as well as producing the game, I was doing the art and text, and theres virtually no art. To get it out the door ASAP, I took it upon myself to complete what I did not realise would be such a monumental task.	(not enough attention given to localization)	none	none
Guns of Icarus Alliance	2017	planning	With the scale and ambition of our project and the small size of our team, we failed to allocate adequate resources for localization, meaning that localization is now a near-impossibility within the existing game framework. It pains us to know that there are many players who had a difficult playing experience, and others who missed out on the game altogether, all because it only provides support for English-speaking players.	(not enough attention given to localization)	none	none
Deadliest Warrior	2010	team	Not only was it hard to manage, but we also worked with an offshore team that did not keep the same hours. Normally this would not be a problem, but since we did not have all of the text ready from the start it meant that we would receive new text from Pipeworks during the daytime but the localization team was out of office and could not get to it until the next day. Since they were out of office, they could not schedule resources for the next day and thereby we would miss a day while we got everyone assigned again. This seemed to happen all the way to the very end of the project, even after our contract with the localization team was over. We basically had to reach out to all of our friends all over the world to get them to translate pieces of sporadic text. My Facebook status updates were pretty funny for a while -- something random like "How do I say sever limbs and decapitate your enemies in German?"	(not enough attention given to localization)	none	none
none	2006	communication	Explaining the concept of an original game with no real prior references is a major difficulty that must not be underestimated. I had to deploy considerable efforts before I finally managed to generate enough excitement to sign for the project, after spending more than a year discussing it with the publisher. Developing an original project also constitutes a mass of difficulties at all levels of production. Apart from the initial difficulty of convincing the publisher to take the risk of trying something new, you then have to convince them that the project is making progress. Lots of publishers need to be reassured by the game play early on in the development and demand vertical slices (a full playable game level complete with all the features). This method is perfectly suited to shooters or car games where we can in fact produce a complete level and have a good idea of the final game play because all that remains is to duplicate the game play by changing sets. The immense difficulty of the Indigo Prophecy concept was that a large part of the fun came from involvement in the story and emotion, which were both difficult to illustrate from a single isolated scene. (...) Managing the development team constitutes the other difficulty involved in producing an original project. When working on a FPS, the team has a very clear idea of what it is doing from the very first day of development. It has outside references that enable it to judge the quality of the game. With an original project, this does not apply. The team had to have enormous faith in order to be able to produce Indigo Prophecy. Some of the team members even admitted to me that they had not really understood what Indigo Prophecy was all about until after the game was released and they heard their friends talking about it. Anyone who has already directed a project knows how essential it is to have the complete confidence of the development team. If the team has reservations or no longer believes in the project, that project will fail. For Indigo Prophecy, I made a point of never showing my doubts (which were nevertheless numerous and sometimes difficult to overcome all through the development) and made special efforts to share my vision of the project with the team.	(novel idea: game designer had trouble communicating his vision for the game for his team, as it was a unique kind of game that has never done before)	none	none
Dynasty Feud	2018	communication	In our case, we ended up talking about Smash Bros as a reference most of the time (many media did the same too), which leads to confusion, because Dynasty Feud has actually very little in common with Nintendo’s brawler. We tried to find that awesome pitch for too long without results, so we got to a simple conclusion: probably not every game can have an awesome pitch.	(novel idea: the game's creators failed to create a good pitch, and because of the unique nature of the game, they feel that it is not possible to explain it)	none	none
Chop Suey Kung Fu	2001	planning	Our first error was immediately obvious: we’d commissioned WAP graphics, but we hadn’t commissioned colour graphics at the same time. We had to track down the freelancer who’d done the first set, and persuade him to produce more. It’s a beginner’s mistake, and one we’re not likely to repeat!	(outsourcing quality/communication issues: art staff)	Project Mismanagement	Brown et al.
A Boy and His Blob	2010	team	Outsourcing sound effects was also problematic, as our SFX person was unable to spend a lot of time at the studio observing the game she was making effects for. Lead gameplay programmer Larry Holdaway, stepped in and pulled double-duty as a SFX fixer-upper, putting the effects through filters, fiddling with the volumes, and sometimes making or finding all-new effects. Lastly, some outsourced programming we tried ended up not working out as well, and we had to pull the development internal to get the results we needed. With the added problem of time zone differences, outsourcing for Blob was a hurdle.	(outsourcing quality/communication issues: SFX team)	Project Mismanagement	Brown et al.
System Shock 2	1999	communication	Our primary animation source was motion capture data. We were nervous about the technology from the start and attempted to minimize our risk by concentrating primarily on humanoid creatures with a small number of interesting variants such as spiders and floating boss monsters. In retrospect, this was a very wise decision, as we had a lot of trouble even with this simple set of creatures. Motion capture technology and capture services were contracted from a local company, but unfortunately this company viewed its motion capture work primarily as a side business and did not display much interest in it. In fact, they cancelled this sector of their business during our project, and we had to fight hard to complete the sessions that we had already scheduled with them.	(outsourcing quality/communication issues)	Project Mismanagement	Brown et al.
Cultist Simulator	2019	team	Let me first just say: we worked with a number of freelancers on Cultist Simulator and they were all great. Our mistake was our freelance pipeline, not our beloved freelancers themselves. Ten different freelancers worked on Cultist Simulator, and most of them doubled up in some way (we’ve had three UI/tech freelancers, for example, and four people created our in-game art assets). This surprisingly high number is primarily because coherent, consistent production didn’t happen until the Kickstarter in September 2017: prior to that, Cultist had been this weird tinkery side-project Alexis had been playing with in his downtime in between his own freelancing gigs. We started off with some freelancers who then weren’t free when we came back to them six months later; other freelancers had their own projects and personal commitments which meant they weren’t always on tap. The end result is that we didn’t end up with the same level of consistency we’d have had if we’d commissioned fewer freelancers for the whole duration of the project. Next time, I think we’d be better off either committing sooner to ongoing, uninterrupted production, or waiting to work with freelancers until we had a constant development road ahead of us.	(outsourcing quality/communication issues)	Project Mismanagement	Brown et al.
Robothorium	2019	team	Not everyone on remote work was fitting. Remote can be great for some people, harsh for others. (...) The project wasn’t super easy & chill. The reshaping of the art direction was exhausting and took a lot of time. Some people didn’t really live it well! (...) People lacked a bit of experience so the production value is a bit weak, but they definitely learned a lot.	(outsourcing quality/communication issues)	Project Mismanagement	Brown et al.
The Banner Saga 2	2016	delays	In the meantime, the console porting company missed milestone after milestone. (...) As soon as the first major milestone was missed, we should have laid down an ultimatum and pulled the plug.	(outsourcing quality/communication issues)	Project Mismanagement	Brown et al.
Black The Fall	2017	communication	Any collaboration you have, from a device acquisition to closing contracts, always try to anticipate gray areas and ask the right questions just to rain check if things can go as you expect them to. More often than not we have expectations based on best-case scenarios, and real live development of events can leave us disappointed. Also, never assume you’re the first person in the world that’s had a particular issue or need. Anything can be Googled and there’s a nice indie community online that will share recommendations or give a piece of advice if they’ve encountered something similar. (...) If you need something from someone else, don’t expect them to drop everything and make you their priority. You don’t know what their agenda is and sometimes our initial messages can get lost. If you urgently need something from someone else, don’t be ashamed to follow up with them, or their colleagues, by email or phone. Or ultimately look for alternate solutions.	(outsourcing quality/communication issues)	Project Mismanagement	Brown et al.
Stubbs the Zombie	2006	team	We could have done a way better job of vetting potential suppliers. We got lucky and found some incredible people to work with, but our selection process had three problems. First, not every asset class that went into production had a shippable asset reference to go with it. We made it a goal to develop the first version of every object type (character, vehicle, environment, scenery, weapon) internally and send that as the level-setting reference, but we got a little too enthusiastic in some cases to wait for that. This made it difficult to set the bar for everyone. Second, not every contractor was required to submit a test asset. This was another goal we set, but again, we jumped the gun in a few instances, which was a mistake. Omitting this step allowed incorrect expectations to emerge and caused underbidding. In the future we’ll set expectations of quality and scope for potential contractors before they submit a bid and start working. Third, we underestimated how important good management and art direction is for contractors. We worked with one art house in particular that was stretched too thin and sold us on the A team, but gave us the B team. They experienced a bad cash flow squeeze during production, which strained our relationship. Additionally, their art director was not experienced enough, which made it really difficult for us to manage quality across their team. Had we discovered all this in the selection process, we would not have had to waste time replacing the contractor during the middle of production. (...)  We underestimated just how much time was required to manage contractor submissions. We knew it would be time consuming, but even with that expectation, the combination of art directing and art production was more work than we had time to do. We were short on producers and our artists were scheduled to produce content on their own. We didn’t have enough bandwidth available for reviewing submissions in a timely manner. We realized too late that our production phase requires an intense focus on the work coming in from the contractors. Focusing our internal efforts on the contractor feedback loop should have been a higher priority for our art direction team. (...)  	(outsourcing quality/communication issues)	Project Mismanagement	Brown et al.
The Banner Saga 2	2016	team	The bulk of their team left the company, leaving the entire weight of the project on a single capable developer. The company hired several short term programmers, each of which jumped ship shortly after coming on board. After 6 months of turnover and churn, the porting company finally threw in the towel and abandoned their contract.	(outsourcing quality/communication issues)	Project Mismanagement	Brown et al.
AuroraBound	2017	cutting-features	If you read my previous blog posts, you’ll know that I developed AuroraBound in my spare time and, in what can only be described as a game development miracle, it kept pretty much to the original estimates of 6 months for development. To do this, the core game design and mechanics were purposely kept as simple as possible and any ‘extra’ features that weren’t absolutely needed were brutally cut. When pre-production started, the rough goal was actually to make a space based RPG with a ship building & combat system loosely inspired by the Galaxy Trucker board game. The first thing prototyped was the ship building mechanic however - where you can only match up square component based on their connector types. I realized I was having fun just matching colored squares in a little grid and decided to cut everything else from the concept after a day or two and just focus on that. Not the easiest decision I have ever made, but since the main goal was to release a finished game, it was the right choice.	(personal/health issues impacted the production: designer decided to scale down the game, since it was a study game)	none	none
Renowned Explorers	2016	team	I took it especially hard at the time. I didnt really agree with the philosophy or the way the projects were handled, had a lot of money on the line, and I had just overcome my minor impostor syndrome as a designer and director, just to be pushed back. It went as far that the combination of emotional stress and a lack of sunshine provoked a stress attack, requiring an ambulance to check up on me.	(personal/health issues impacted the production: game dev had to overcome psychological hardships during development)	none	none
The Italian Job	2002	team	During the final stages, just two weeks before submitting the gold master, Robin, one of our programmers had been working over the weekend tying up some loose ends. He left the office, got into his car and started on his way home, meanwhile some delinquent joyriders were screeching around a corner so fast, they had veered onto the opposite side of the road resulting in a head-on collision with Rob. The rest of the team found out about the accident on the following Monday morning, Rob was in hospital, strapped down so he couldnt move. The news from his mother was, he could have seriously damaged his spinal column and the fear of Rob being paralysed was in the air, everyone was in anticipation of the X-ray results. A call was received later that day, again from his mother, the doctors said he was in the clear but he wasnt allowed to move and had to stay in hospital until further notice, a sigh of relief was heard from everyone in the office. Luckily, after a few days he soon started to recover and was sent home to rest, we sent him cards and joked about ideas of how we considered transporting his PC from the office to the hospital and rig it so he could look at a screen and code while still being laid on his back -- we wouldnt really do a thing like that.	(personal/health issues impacted the production: one of the devs suffered a car acccident during the game's development, which resulted in small disruption in production)	none	none
Doom	2013	security	Alpha and beta leaks have plagued Id from the beginning, and Doom was no exception. In the early development stages of Wolfenstein, there was an idea to have a contest where whoever found a secret room hidden somewhere on one of the levels would win $10,000. But the first person to call up was a pirate who called during the beta testing cycle, and the whole prize idea had to be scrapped. In the early development of Doom, an alpha version of the game made it into such wide distribution that people were asking the technical support staff why the sound didnt work on their machine. The reason, of course, was that sound hadnt been added yet. The most disconcerting story has to do with an alpha version of the Wolfenstein SNES cartridge that was given to handful of game magazine editors and somehow made into the hand of a pirate in Hawaii who was making black market cartridges. To try and keep this kind of thing from happening, Id has now set its beta policy so that games are password protected and tightly controls how many beta copies are distributed.	(piracy: beta was leaked and distributed illegally)	none	none
Goat Simulator	2015	scope	Once the requests started flooding in to make Goat Simulator into a real game on Steam and we started scrambling to finish the game until April 1st (because no matter how you think about it, April 1st is a hilarious release date and we just had to release it then). During these stressful months, the last thing on our minds was a mobile port. We had no idea if the game would sell well on Steam, as we were afraid that people would watch the game on Youtube and joke about it, but never buy it for real. We basically thought that we would release it on Steam first, and then if that goes well, we’ll release it on mobile. However, only a couple of weeks after the first video of Goat Simulator went viral, there were already clones on the App Store and Google Play that had millions of downloads. Some people actually thought they had bought the real Goat Simulator, and were emailing our Coffee Stain support mail once their app crashed. We realized that it didn’t matter if we wanted to make a mobile version of Goat Simulator or not, there were already mobile versions of the game out already, whether we liked it or not.	(piracy: mobile version was not initially planned, but studio decided to release it because pirates started making clones of the game)	none	none
Age of Empires II: Age of Kings	2000	security	Prerelease versions of nearly all games wind up circulating in pirate channels known as “warez”. This happened with AoE. Imagine our surprise at reading an entire review of the game (an alpha version) eight months before it was released. Fortunately, almost no one bothered with it until the game was properly released because nobody knew much about it. AoK was a completely different story. It was a highly anticipated sequel to a very successful game, and the various warez sites were tripping all over themselves to get a copy of the latest build. And get a copy they did. They were usually only one or two weeks behind our latest build. It seemed as though copies were leaking out from every imaginable source — play-testers at Microsoft, previews sent to magazines, even internal sources. Unfortunately, positively identifying and fingering the culprits was almost impossible. There were hacking attempts on our FTP server and network, though the real rub came from the pirates in Hong Kong and Singapore. They took the warez versions of AoK, burned them onto CDs, added some cover art, and sold the game throughout the Pacific Rim. In Korea, the CD vendors operating in front of Microsoft’s headquarters had a warez version of AoK for sale. Warez versions were even turning up on eBay. Though we doubt bottom-line sales were hurt much, our pride certainly suffered. Any of our future games will probably require connecting to a secure server of our own design to operate, even for single-player games.	(piracy)	none	none
AuroraBound	2017	team	When work started on AuroraBound, I was determined to finish and ship the game and not just add it to my huge list of unfinished prototypes and side projects. To do this, I adopted a hard and fast rule of working on it every day for 1-2 hours ( more on weekends ). I generally didn’t allow myself any exceptions to this unless something unavoidable came up. I also never allowed myself to work for more than 2.5 hours on a given day, no matter how well or poorly things were going - I don’t crunch to finish projects, ever. This gave a clear amount of development time for the project, since the target timeline was six months, and it was possible to design, estimate and cut features to hit that target. At first, the system seemed to work very well, but about halfway through, I started noticing issues - my attention and motivation were lagging and the temptation to ‘just take today off’ was getting stronger. It wasn’t due to the work being done though - individual features were being finished every day or two and I was regularly swapping between different types of work (and if I really didn’t want to work on something, I just cut it). The simple fact was, I was burning out.	(procrastination: due to burnout)	none	none
Garden Wars	2017	team	I wrote a fairly honest blog post about laziness and procrastination, but it seems I am still not extremely disciplined myself. Its quite hard to develop on a fine day at home when there has been a lot of bad weather and there is a lot of work outside that needs doing. And if Im honest, I have to say that when development gets tough, its much easier to just play a game of Age of Mythology than to actually solve the problem! Im also partial to a round of golf, which is very easy to come by here. I shudder to think how much time in total was spent on these kinds of things - I dont think it could all be cut out and replaced with actual development, but a lot of it could.	(procrastination: due to indisciplined developer)	none	none
Garden Wars	2017	multiple-projects	I spent quite a lot of time expanding on ideas for the next project, and doing prototyping. Particularly when I had run into a tough problem on the current game, its much easier to just think about something else. 	(procrastination: when the dev found a problem in one project, he would just move to the other)	none	none
Crackdown	2009	delays	Microsoft has a policy of reviewing all its titles one year out (OYO). Crackdowns OYO was in October 2005. In our view, progress and control was sufficient to agree that we were indeed looking at a completion date approximately one year later. Microsoft, on the other hand, preferred that the title hit before financial year end: We were faced with the unenviable task of driving toward a fairly hopeless May 2006 deadline. As May approached, the spotlight moved to August, and when that evaporated, the sights were set on a tight but realistic October deadline. Eventually we slipped past our original OYO estimate by two months.	(publishers/management insisted on an unrealistic schedule)	none	none
The X-Files	1999	communication	This top-down approach to management worked into project scheduling as well. Time and again, developers were told that the schedules they wrote for the project were unacceptable. The schedules that were eventually agreed upon were largely emotional compromises made to avoid more conflict. This unfortunate situation hurt everyone involved, since the success of both the team and the company depends on its schedule being as accurate as possible.	(publishers/management insisted on an unrealistic schedule)	none	none
Fallout Tactics	2001	planning	Originally, we had 12 months from starting the design to delivering the gold master. If you take off a month for initial design and a month for QA, that only leaves 10 months for the development of the game. We made our first deadline, E3, but after that we were constantly slipping. (...) When I first joined the project I produced a Microsoft Project document for the game. The Gantt chart still hangs on the wall downstairs as a testament to the hopelessness of our original goals. Two weeks for pathfinding and six weeks for AI seem hopelessly unrealistic now, but at the time we had no choice if we were to meet our original deadline.	(publishers/management insisted on an unrealistic schedule)	none	none
Kleptocats	2017	multiple-projects	Unfortunately, The Balloons (the prior project mentioned above which failed financially) was still under development during our exploration and our boss thought the prototype was kind of silly. So, before we got to explore these ideas further we archived the prototype in our “to do” folder.	(publishers/management insisted on changes to the project: boss told devs to put the idea on the drawer for a while because he did not believe it would be productive to work on it at the time)	none	none
Scarface: The World Is Yours	2007	delays	Though unavoidable and clearly for the greater good of the game, the change of direction for the project midway through development brought about by a six month extension to our Alpha date, and presented challenges for the dialogue system and for the flexibility of the content we had already recorded.	(publishers/management insisted on changes to the project: sound asset re-work was requested by the new manager who entered the project after a management change)	none	none
Ratchet & Clank	2016	communication	Cross-country collaboration - We’re not being glib here. We have to list this in both categories. It was the single biggest win for the project, but it was also the single biggest source of pain. Why? Because culture. (...) The cross-studio strike teams, on the other handed, proved more challenging. Despite everyone’s best intentions, iteration time slowed down thanks to time zone differences and communication overhead. The impromptu brainstorm meetings that are the backbone of our work became formal and rigid.	(team scaling issues)	none	none
Call of Duty 2	2005	communication	To lessen the blow of change, Infinity Ward focused on increasing communication as employment increased. Mandatory Monday meetings quickly became the forum for everyone to check in and learn what others were working on. The meetings, he said, would give people “a pipeline into management.” Layers of management were created. Roles for both associated producers and full producers were granted. Key employees from previous projects were promoted to leads in order to keep them involved in their areas of expertise (for example, architecting the systems) but empower them to portion out tasks as well. The next step is to hire an events person to organize spirit-building events, like barbecues, movie outings, and write a company newsletter. Collier hopes that more fun and more events will help the small-team culture prevail even in the larger structure. “As people know, building up a company very quickly is a very dangerous thing to do. You can be successful at a certain level, but then it quickly becomes hell in a handbasket.	(team scaling issues)	none	none
Call of Duty 2	2005	team	In discussing the changes at the employment level, Collier seemed slightly wistful of the days when, with only 25 people working on one project, one common goal, the team could “turn on a dime” and had a “family atmosphere.” “Everyone wanted to be successful,” he said of the corporate culture of yesteryears. “That whole small company culture is all precious and dear, and we tried to hold onto that culture as long as we could,” but it was “impossible after 50, 60 people” were in the team, he said.	(team scaling issues)	none	none
DoTA	2003	team	While the small size of the development team was advantageous in many situations, it also posed some unique challenges that many games arent faced with. There werent enough available hours between the team members to properly test each new release, so versions were sometimes released with bugs that needed to be patched immediately.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
Dead State	2014	team	Most RPGs I have worked on have had a minimum of about 25-30 people working on the game for most of production, while Dead State only had about 8-10 at any time. Without the ability to bring on additional team members, it meant a lot of us were working extremely long hours and were wearing multiple hats throughout development. (For example, for most of the project I was the only fulltime designer, the project lead, the business guy, the level lead, the lead writer, the systems and combat lead, and an additional scripter.)The lack of additional personnel slowed the development of key systems and created bottlenecks for both the creation/refinement of those features, and for getting feedback from key team members.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
Rollers of the Realm	2014	scope	 Staffing was also challenging: From our original six-month concept through to finding financing for the full game we lost many of our original team members as they found full-time industry jobs. Onboarding dozens of parttimers and contractors in the early days of our prototyping was an expected, but nevertheless a strain. Our lead programmer position was also a bit of a revolving door, with four lead programmers coming on and off the project over the development cycle. This cost time in bringing each replacement up to speed and resulted in legacy code kicking around that they were wary of removing. We really couldnt avoid the long development cycle for this project, but there is value in keeping them shorter when possible.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
Brütal Legend	2010	team	As Brütal Legend moved into production, it became clear that the team was understaffed in key implementation positions. To meet this need, we reallocated positions set aside for facilitation hires (such as design and production) to staff up more implementers (such as animators and programmers). While it was necessary to staff up on implementers, we failed to recognize until we were deep into production that our overall efficiency was reduced by this personnel trade, due to the statistical increase in designs that had to be reworked, an up-trend in management oversights, and general miscommunication. The price of understaffing the design department meant that we were often implementing ideas that had only been loosely discussed, before the feature had been fully planned. Serious flaws were sometimes discovered only after a feature had been partially or fully implemented. This also meant that there was always a hefty backlog of decisions and specifications, even before adding in the rework required after false starts. Since it is often at the top of the dependency chain, bottlenecking design had a deleterious impact on the rest of the team, especially considering our broad game scope. 	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
Bioshock	2008	planning	We knew from the start that wed have to make late changes to really bring the game to life-we had even built our original schedule to allow for six months of finalizing-but the amount of change that we ended up needing seriously exceeded our remaining schedule. Ultimately, we were very lucky to get an extension in the eleventh hour. (...) Our goals and vision pretty consistently overreached our production capacity. Ideas that started out small turned out to require a tremendous amount of coordinated support to reach a polished state. Although we were able to add resources regularly and make some cuts late in the game, our ability to plan for how much work it would take to bring any single idea or space from concept to completion was poor. In addition, we didnt have an effective internal review process set up until very late in the development cycle. We would work on levels to the definition of a milestone, get feedback, and then set it all aside for a while or leave it in the designers hands to polish. It wasnt until we created a more regular review cycle, where all the key players sat in one room and watched the gameplay session and someone logged all the bugs, that we were really able to define the amount of remaining work to bring a feature or level to completion.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
The Banner Saga 2	2016	team	A downside to having a small team is that each member is responsible for a wide variety of tasks. (...) 	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
SpecOps: Rangers Lead the Way	1999	team	The last thing that I expected was that it would be hard to find good programmers in Seattle. I was hired at the start of SpecOps’ development and didn’t manage to bring the entire programming staff on board for nearly seven months. Needless to say, this caused substantial delays. We had similar problems hiring the art team. During the first months, the employees we hired burned out because they were trying to accomplish the duties of several people. I’m not sure what can be learned from this, but planning around such problems in the future will save some headaches.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
Sins of a Solar Empire: Rebellion	2012	team	Despite what we generally considered a smooth and successful development cycle, we werent without our fair share of setbacks. For the first six months of production, one person was juggling design, project management, and a number of significant project-external responsibilities. They were -- obviously -- overtasked. It led to a lack of communication on scheduling between studio management and the development team. Initial estimates for the number of artists required were too low, and the project was starting to fall months behind schedule. (...) Further complicating early development, a key employee we planned to assign to the Sins: Rebellion art team left the company. This individual had been the go-to artist for working with the Iron Engine for the previous expansion pack, and had valuable experience working with the more technical aspects of that toolsets art pipeline. When they left, we had not yet staffed the art team, and there was no obvious person to transfer that knowledge to. Additionally, they were still assigned to another project within the studio, which took priority over documenting their pipeline knowledge in the weeks before departure. (...) One of our engineers was tasked with implementation of this major graphics feature, despite being unfamiliar with Iron Engines graphics tech. This led to burning over three months of an engineers time because this misallocation of a task wasnt identified and reassigned to Ironclads team earlier. Setting a clear milestone to evaluate the progress of major or risky features would have found and fixed this issue early on.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
Pixeljunk 4am	2013	team	Unfortunately, with the small team size and time restraints, we really couldnt give the beta the time it deserved.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
Riptide GP	2011	team	We didnt start out intending make Riptide GP with just the two of us. Id thought I might contract out a month or two of artwork, and we had some budget allocated for things like sound design and music. But because we were partially funding Riptide GP out of our own pockets, we were powerfully motivated to keep costs down. And because our schedule was so tight, we felt we couldnt afford the time it would take to manage outsourcing. So we just went full steam ahead. My schedule was pretty much filled from start to finish with art tasks, but as it turned out, Ralfs programming schedule started to open up once he got past the graphics engine optimizations. He ended up taking on a ton of miscellaneous content tasks, including sound design and music curating (we sourced most of it from online stock sites like Audiomicro), screens flow scripting, and even some particle effects. The problem as always with a very small team -- in our case, a very, very small team -- is that there is virtually no wiggle room for unforeseen variables. We went from three week Scrum sprints at the start of the project, to two week sprints, to one week, and towards the very end we tossed Scrum completely and just went with prioritized task lists, squeezing as much as we could into the time we had. As hard as it was, it was creative, rewarding work, and somehow we managed to get it all done on time. But the process wasnt always pretty.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
Shadow Tactics: Blades of the Shogun	2017	team	Our players and the Mimimi team would expect the DLC to be on the same level of quality as the main game. That means that our most experienced team members would have to be heavily involved instead of, let’s say, just finding an outsourcing partner or hiring new personnel. But everyone is already on the new project, which has even higher expectations to fulfill, and we are neither fans of crunch nor did we find any available cloning devices. For the sake of simply making sure that our new game won’t disappoint, we have to stay focused on one big task. So while the financial aspect plays a role, the dealbreaker here is really the available time we have. We would never consider releasing a subpar DLC just to make money. We probably should have done the DLC right after release, but hindsight is easier than foresight, and at that moment it simply didn’t happen.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
Spider-Man	2013	team	Some of our other problems can be traced back to staff size. When the project started, we had about four programmers, four game designers, three modelers, one texture artist, one producer, and one creative director. NGL was only in our imaginations at this point. Treyarch was eagerly looking for more staff, but staff doesnt just come out of thin air. Most important, we didnt have a concept artist, we didnt have a writer, and we had so many people working on the proof-of-concept that we didnt really have someone to come up with a full design. Later, when we rolled into full production of our inadequate design, things got even worse, because some of our veterans were taken away to work on other projects, without adequate replacement. Eventually we were fully staffed and then some; we had more than 40 people at points during the project, and more than 50 worked on it at one point or another. We had to make up in the end for what we lacked in the beginning.	(team understaffed/scaled down)	Project Mismanagement	Brown et al.
